airline_sentiment_Index,features,rawPrediction,probability,prediction
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[29,273,297,314,365,639,652,699,803,903],""values"":[1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.803058857706326,0.131575506149921,-0.9346343638562472]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5928118534446123,0.30289727387642296,0.10429087267896467]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[86,105,211,330,341,433,510,593,615,654,700,807,891],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.0033021948121297,0.16790660976804264,-1.1712088045801723]}","{""vectorType"":""dense"",""length"":3,""values"":[0.646259262781835,0.28028450421937057,0.0734562329987944]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[23,63,206,330,383,389,602,640,661,726,861,892,986,999],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[2.158768490515224,-0.5799261732875833,-1.5788423172276402]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9187244768580441,0.05939984435314819,0.02187567878880764]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[29,62,221,286,288,330,389,603,635,661,666,712,999],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[2.7325731299376925,-1.9633380536871183,-0.7692350762505741]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9622088881526311,0.00878741323076015,0.02900369861660876]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[39,61,159,189,203,305,330,369,533,536,752,873,939,989],""values"":[1,1,1,1,1,1,2,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.1151339968757736,0.2748525843094308,-1.389986581185204]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6608272437965178,0.2852058035242695,0.05396695267921258]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[66,159,297],""values"":[1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.0020514621435866118,0.1252540246049415,-0.12730548674852826]}","{""vectorType"":""dense"",""length"":3,""values"":[0.33225088303304035,0.37581346545910144,0.2919356515078582]}",1
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[25,434,519,626,726,736],""values"":[1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.2503817566609905,1.0600966956360314,-1.3104784522970223]}","{""vectorType"":""dense"",""length"":3,""values"":[0.2892495202058969,0.6500209845522783,0.060729495241824805]}",1
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[20,540,560,979],""values"":[1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9440894229189081,0.17976146262438558,-1.1238508855432938]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6281041250163967,0.2924746501013276,0.07942122488227585]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[39,57,61,423,429,430,482,487,736],""values"":[1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.8923135959541773,-1.0417448136618024,-0.8505687822923748]}","{""vectorType"":""dense"",""length"":3,""values"":[0.8948023241155936,0.0475862768097567,0.05761139907464981]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[16,37,330,345,354,691,736,826],""values"":[1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.1860519582191893,-0.4137883623890997,-0.7722635958300899]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7445879724422747,0.15035372545149664,0.1050583021062287]}",0
